sample_id,split,target_id,view,sequence_name,template_frame_id,search_frame_id,group,pair_id,balanced_primary,occlusion,out_of_view,bbox_valid,bbox_x,bbox_y,bbox_w,bbox_h,causal_max_gap,template_rule
d2p1-train-md3005-1-000053-clean,train,md3005,A,md3005-1,52,53,clean,d2p1-train-md3005-A-00005,True,0,0,True,821.0,328.0,12.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000053-synthetic,train,md3005,A,md3005-1,52,53,synthetic,d2p1-train-md3005-A-00005,True,0,0,True,821.0,328.0,12.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000062-clean,train,md3005,A,md3005-1,61,62,clean,d2p1-train-md3005-A-00006,True,0,0,True,825.0,341.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000062-synthetic,train,md3005,A,md3005-1,61,62,synthetic,d2p1-train-md3005-A-00006,True,0,0,True,825.0,341.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000071-clean,train,md3005,A,md3005-1,70,71,clean,d2p1-train-md3005-A-00007,True,0,0,True,831.0,357.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000071-synthetic,train,md3005,A,md3005-1,70,71,synthetic,d2p1-train-md3005-A-00007,True,0,0,True,831.0,357.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000081-clean,train,md3005,A,md3005-1,80,81,clean,d2p1-train-md3005-A-00008,True,0,0,True,837.0,377.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000081-synthetic,train,md3005,A,md3005-1,80,81,synthetic,d2p1-train-md3005-A-00008,True,0,0,True,837.0,377.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000090-clean,train,md3005,A,md3005-1,89,90,clean,d2p1-train-md3005-A-00009,True,0,0,True,845.0,380.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000090-synthetic,train,md3005,A,md3005-1,89,90,synthetic,d2p1-train-md3005-A-00009,True,0,0,True,845.0,380.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000100-clean,train,md3005,A,md3005-1,99,100,clean,d2p1-train-md3005-A-00010,True,0,0,True,851.0,385.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000100-synthetic,train,md3005,A,md3005-1,99,100,synthetic,d2p1-train-md3005-A-00010,True,0,0,True,851.0,385.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000109-clean,train,md3005,A,md3005-1,108,109,clean,d2p1-train-md3005-A-00011,True,0,0,True,856.0,390.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000109-synthetic,train,md3005,A,md3005-1,108,109,synthetic,d2p1-train-md3005-A-00011,True,0,0,True,856.0,390.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000119-clean,train,md3005,A,md3005-1,118,119,clean,d2p1-train-md3005-A-00012,True,0,0,True,836.0,394.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000119-synthetic,train,md3005,A,md3005-1,118,119,synthetic,d2p1-train-md3005-A-00012,True,0,0,True,836.0,394.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000128-clean,train,md3005,A,md3005-1,127,128,clean,d2p1-train-md3005-A-00013,True,0,0,True,804.0,395.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000128-synthetic,train,md3005,A,md3005-1,127,128,synthetic,d2p1-train-md3005-A-00013,True,0,0,True,804.0,395.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000138-clean,train,md3005,A,md3005-1,137,138,clean,d2p1-train-md3005-A-00014,True,0,0,True,788.0,395.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000138-synthetic,train,md3005,A,md3005-1,137,138,synthetic,d2p1-train-md3005-A-00014,True,0,0,True,788.0,395.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000147-clean,train,md3005,A,md3005-1,146,147,clean,d2p1-train-md3005-A-00015,True,0,0,True,775.0,390.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000147-synthetic,train,md3005,A,md3005-1,146,147,synthetic,d2p1-train-md3005-A-00015,True,0,0,True,775.0,390.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000157-clean,train,md3005,A,md3005-1,156,157,clean,d2p1-train-md3005-A-00016,True,0,0,True,764.0,389.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000157-synthetic,train,md3005,A,md3005-1,156,157,synthetic,d2p1-train-md3005-A-00016,True,0,0,True,764.0,389.0,15.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000314-clean,train,md3005,A,md3005-1,165,314,clean,d2p1-train-md3005-A-00017,True,0,0,True,705.0,359.0,12.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000314-synthetic,train,md3005,A,md3005-1,165,314,synthetic,d2p1-train-md3005-A-00017,True,0,0,True,705.0,359.0,12.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000324-clean,train,md3005,A,md3005-1,323,324,clean,d2p1-train-md3005-A-00018,True,0,0,True,713.0,354.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000324-synthetic,train,md3005,A,md3005-1,323,324,synthetic,d2p1-train-md3005-A-00018,True,0,0,True,713.0,354.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000333-clean,train,md3005,A,md3005-1,332,333,clean,d2p1-train-md3005-A-00019,True,0,0,True,694.0,343.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000333-synthetic,train,md3005,A,md3005-1,332,333,synthetic,d2p1-train-md3005-A-00019,True,0,0,True,694.0,343.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000342-clean,train,md3005,A,md3005-1,341,342,clean,d2p1-train-md3005-A-00020,True,0,0,True,688.0,332.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000342-synthetic,train,md3005,A,md3005-1,341,342,synthetic,d2p1-train-md3005-A-00020,True,0,0,True,688.0,332.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000352-clean,train,md3005,A,md3005-1,351,352,clean,d2p1-train-md3005-A-00021,True,0,0,True,697.0,321.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000352-synthetic,train,md3005,A,md3005-1,351,352,synthetic,d2p1-train-md3005-A-00021,True,0,0,True,697.0,321.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000361-clean,train,md3005,A,md3005-1,360,361,clean,d2p1-train-md3005-A-00022,True,0,0,True,703.0,316.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000361-synthetic,train,md3005,A,md3005-1,360,361,synthetic,d2p1-train-md3005-A-00022,True,0,0,True,703.0,316.0,13.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000371-clean,train,md3005,A,md3005-1,370,371,clean,d2p1-train-md3005-A-00023,True,0,0,True,710.0,322.0,14.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000371-synthetic,train,md3005,A,md3005-1,370,371,synthetic,d2p1-train-md3005-A-00023,True,0,0,True,710.0,322.0,14.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000386-clean,train,md3005,A,md3005-1,385,386,clean,d2p1-train-md3005-A-00024,True,0,0,True,721.0,331.0,12.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000386-synthetic,train,md3005,A,md3005-1,385,386,synthetic,d2p1-train-md3005-A-00024,True,0,0,True,721.0,331.0,12.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000424-clean,train,md3005,A,md3005-1,423,424,clean,d2p1-train-md3005-A-00025,True,0,0,True,658.0,296.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000424-synthetic,train,md3005,A,md3005-1,423,424,synthetic,d2p1-train-md3005-A-00025,True,0,0,True,658.0,296.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000433-clean,train,md3005,A,md3005-1,432,433,clean,d2p1-train-md3005-A-00026,True,0,0,True,642.0,286.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000433-synthetic,train,md3005,A,md3005-1,432,433,synthetic,d2p1-train-md3005-A-00026,True,0,0,True,642.0,286.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000443-clean,train,md3005,A,md3005-1,442,443,clean,d2p1-train-md3005-A-00027,True,0,0,True,637.0,282.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000443-synthetic,train,md3005,A,md3005-1,442,443,synthetic,d2p1-train-md3005-A-00027,True,0,0,True,637.0,282.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000452-clean,train,md3005,A,md3005-1,451,452,clean,d2p1-train-md3005-A-00028,True,0,0,True,641.0,283.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000452-synthetic,train,md3005,A,md3005-1,451,452,synthetic,d2p1-train-md3005-A-00028,True,0,0,True,641.0,283.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000462-clean,train,md3005,A,md3005-1,461,462,clean,d2p1-train-md3005-A-00029,True,0,0,True,650.0,288.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000462-synthetic,train,md3005,A,md3005-1,461,462,synthetic,d2p1-train-md3005-A-00029,True,0,0,True,650.0,288.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000471-clean,train,md3005,A,md3005-1,470,471,clean,d2p1-train-md3005-A-00030,True,0,0,True,658.0,295.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000471-synthetic,train,md3005,A,md3005-1,470,471,synthetic,d2p1-train-md3005-A-00030,True,0,0,True,658.0,295.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000480-clean,train,md3005,A,md3005-1,479,480,clean,d2p1-train-md3005-A-00031,True,0,0,True,662.0,300.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000480-synthetic,train,md3005,A,md3005-1,479,480,synthetic,d2p1-train-md3005-A-00031,True,0,0,True,662.0,300.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000490-clean,train,md3005,A,md3005-1,489,490,clean,d2p1-train-md3005-A-00032,True,0,0,True,651.0,305.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000490-synthetic,train,md3005,A,md3005-1,489,490,synthetic,d2p1-train-md3005-A-00032,True,0,0,True,651.0,305.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000499-clean,train,md3005,A,md3005-1,498,499,clean,d2p1-train-md3005-A-00033,True,0,0,True,643.0,305.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000499-synthetic,train,md3005,A,md3005-1,498,499,synthetic,d2p1-train-md3005-A-00033,True,0,0,True,643.0,305.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000509-clean,train,md3005,A,md3005-1,508,509,clean,d2p1-train-md3005-A-00034,True,0,0,True,645.0,301.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000509-synthetic,train,md3005,A,md3005-1,508,509,synthetic,d2p1-train-md3005-A-00034,True,0,0,True,645.0,301.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000518-clean,train,md3005,A,md3005-1,517,518,clean,d2p1-train-md3005-A-00035,True,0,0,True,642.0,297.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000518-synthetic,train,md3005,A,md3005-1,517,518,synthetic,d2p1-train-md3005-A-00035,True,0,0,True,642.0,297.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000545-clean,train,md3005,A,md3005-1,544,545,clean,d2p1-train-md3005-A-00036,True,0,0,True,618.0,279.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000545-synthetic,train,md3005,A,md3005-1,544,545,synthetic,d2p1-train-md3005-A-00036,True,0,0,True,618.0,279.0,13.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000585-clean,train,md3005,A,md3005-1,584,585,clean,d2p1-train-md3005-A-00037,True,0,0,True,604.0,320.0,12.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000585-synthetic,train,md3005,A,md3005-1,584,585,synthetic,d2p1-train-md3005-A-00037,True,0,0,True,604.0,320.0,12.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000595-clean,train,md3005,A,md3005-1,594,595,clean,d2p1-train-md3005-A-00038,True,0,0,True,605.0,329.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000595-synthetic,train,md3005,A,md3005-1,594,595,synthetic,d2p1-train-md3005-A-00038,True,0,0,True,605.0,329.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000604-clean,train,md3005,A,md3005-1,603,604,clean,d2p1-train-md3005-A-00039,True,0,0,True,606.0,329.0,11.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000604-synthetic,train,md3005,A,md3005-1,603,604,synthetic,d2p1-train-md3005-A-00039,True,0,0,True,606.0,329.0,11.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000674-clean,train,md3005,A,md3005-1,673,674,clean,d2p1-train-md3005-A-00040,True,0,0,True,637.0,310.0,16.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000674-synthetic,train,md3005,A,md3005-1,673,674,synthetic,d2p1-train-md3005-A-00040,True,0,0,True,637.0,310.0,16.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000683-clean,train,md3005,A,md3005-1,682,683,clean,d2p1-train-md3005-A-00041,True,0,0,True,646.0,305.0,14.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000683-synthetic,train,md3005,A,md3005-1,682,683,synthetic,d2p1-train-md3005-A-00041,True,0,0,True,646.0,305.0,14.0,20.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000693-clean,train,md3005,A,md3005-1,692,693,clean,d2p1-train-md3005-A-00042,True,0,0,True,656.0,300.0,10.0,19.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000693-synthetic,train,md3005,A,md3005-1,692,693,synthetic,d2p1-train-md3005-A-00042,True,0,0,True,656.0,300.0,10.0,19.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000702-clean,train,md3005,A,md3005-1,701,702,clean,d2p1-train-md3005-A-00043,True,0,0,True,660.0,295.0,10.0,19.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000702-synthetic,train,md3005,A,md3005-1,701,702,synthetic,d2p1-train-md3005-A-00043,True,0,0,True,660.0,295.0,10.0,19.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000711-clean,train,md3005,A,md3005-1,710,711,clean,d2p1-train-md3005-A-00044,True,0,0,True,666.0,293.0,10.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000711-synthetic,train,md3005,A,md3005-1,710,711,synthetic,d2p1-train-md3005-A-00044,True,0,0,True,666.0,293.0,10.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000721-clean,train,md3005,A,md3005-1,720,721,clean,d2p1-train-md3005-A-00045,True,0,0,True,669.0,300.0,13.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000721-synthetic,train,md3005,A,md3005-1,720,721,synthetic,d2p1-train-md3005-A-00045,True,0,0,True,669.0,300.0,13.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000730-clean,train,md3005,A,md3005-1,729,730,clean,d2p1-train-md3005-A-00046,True,0,0,True,670.0,311.0,13.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000730-synthetic,train,md3005,A,md3005-1,729,730,synthetic,d2p1-train-md3005-A-00046,True,0,0,True,670.0,311.0,13.0,23.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000740-clean,train,md3005,A,md3005-1,739,740,clean,d2p1-train-md3005-A-00047,True,0,0,True,670.0,302.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000740-synthetic,train,md3005,A,md3005-1,739,740,synthetic,d2p1-train-md3005-A-00047,True,0,0,True,670.0,302.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000749-clean,train,md3005,A,md3005-1,748,749,clean,d2p1-train-md3005-A-00048,True,0,0,True,670.0,295.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000749-synthetic,train,md3005,A,md3005-1,748,749,synthetic,d2p1-train-md3005-A-00048,True,0,0,True,670.0,295.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000759-clean,train,md3005,A,md3005-1,758,759,clean,d2p1-train-md3005-A-00049,True,0,0,True,660.0,288.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000759-synthetic,train,md3005,A,md3005-1,758,759,synthetic,d2p1-train-md3005-A-00049,True,0,0,True,660.0,288.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000768-clean,train,md3005,A,md3005-1,767,768,clean,d2p1-train-md3005-A-00050,True,0,0,True,646.0,281.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000768-synthetic,train,md3005,A,md3005-1,767,768,synthetic,d2p1-train-md3005-A-00050,True,0,0,True,646.0,281.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000778-clean,train,md3005,A,md3005-1,777,778,clean,d2p1-train-md3005-A-00051,True,0,0,True,639.0,272.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000778-synthetic,train,md3005,A,md3005-1,777,778,synthetic,d2p1-train-md3005-A-00051,True,0,0,True,639.0,272.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000787-clean,train,md3005,A,md3005-1,786,787,clean,d2p1-train-md3005-A-00052,True,0,0,True,642.0,265.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000787-synthetic,train,md3005,A,md3005-1,786,787,synthetic,d2p1-train-md3005-A-00052,True,0,0,True,642.0,265.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000797-clean,train,md3005,A,md3005-1,796,797,clean,d2p1-train-md3005-A-00053,True,0,0,True,654.0,256.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000797-synthetic,train,md3005,A,md3005-1,796,797,synthetic,d2p1-train-md3005-A-00053,True,0,0,True,654.0,256.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000806-clean,train,md3005,A,md3005-1,805,806,clean,d2p1-train-md3005-A-00054,True,0,0,True,650.0,248.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000806-synthetic,train,md3005,A,md3005-1,805,806,synthetic,d2p1-train-md3005-A-00054,True,0,0,True,650.0,248.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000816-clean,train,md3005,A,md3005-1,815,816,clean,d2p1-train-md3005-A-00055,True,0,0,True,617.0,236.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000816-synthetic,train,md3005,A,md3005-1,815,816,synthetic,d2p1-train-md3005-A-00055,True,0,0,True,617.0,236.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000825-clean,train,md3005,A,md3005-1,824,825,clean,d2p1-train-md3005-A-00056,True,0,0,True,602.0,227.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000825-synthetic,train,md3005,A,md3005-1,824,825,synthetic,d2p1-train-md3005-A-00056,True,0,0,True,602.0,227.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000834-clean,train,md3005,A,md3005-1,833,834,clean,d2p1-train-md3005-A-00057,True,0,0,True,602.0,219.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000834-synthetic,train,md3005,A,md3005-1,833,834,synthetic,d2p1-train-md3005-A-00057,True,0,0,True,602.0,219.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000844-clean,train,md3005,A,md3005-1,843,844,clean,d2p1-train-md3005-A-00058,True,0,0,True,596.0,211.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000844-synthetic,train,md3005,A,md3005-1,843,844,synthetic,d2p1-train-md3005-A-00058,True,0,0,True,596.0,211.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000853-clean,train,md3005,A,md3005-1,852,853,clean,d2p1-train-md3005-A-00059,True,0,0,True,566.0,205.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000853-synthetic,train,md3005,A,md3005-1,852,853,synthetic,d2p1-train-md3005-A-00059,True,0,0,True,566.0,205.0,12.0,24.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000863-clean,train,md3005,A,md3005-1,862,863,clean,d2p1-train-md3005-A-00060,True,0,0,True,665.0,201.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000863-synthetic,train,md3005,A,md3005-1,862,863,synthetic,d2p1-train-md3005-A-00060,True,0,0,True,665.0,201.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000872-clean,train,md3005,A,md3005-1,871,872,clean,d2p1-train-md3005-A-00061,True,0,0,True,644.0,192.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000872-synthetic,train,md3005,A,md3005-1,871,872,synthetic,d2p1-train-md3005-A-00061,True,0,0,True,644.0,192.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000882-clean,train,md3005,A,md3005-1,881,882,clean,d2p1-train-md3005-A-00062,True,0,0,True,791.0,203.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000882-synthetic,train,md3005,A,md3005-1,881,882,synthetic,d2p1-train-md3005-A-00062,True,0,0,True,791.0,203.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000891-clean,train,md3005,A,md3005-1,890,891,clean,d2p1-train-md3005-A-00063,True,0,0,True,773.0,192.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000891-synthetic,train,md3005,A,md3005-1,890,891,synthetic,d2p1-train-md3005-A-00063,True,0,0,True,773.0,192.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000901-clean,train,md3005,A,md3005-1,900,901,clean,d2p1-train-md3005-A-00064,True,0,0,True,752.0,184.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000901-synthetic,train,md3005,A,md3005-1,900,901,synthetic,d2p1-train-md3005-A-00064,True,0,0,True,752.0,184.0,12.0,25.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000906-natural,train,md3005,A,md3005-1,905,906,natural,,True,1,0,True,747.0,181.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000907-natural,train,md3005,A,md3005-1,905,907,natural,,True,1,0,True,746.0,180.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000908-natural,train,md3005,A,md3005-1,905,908,natural,,True,1,0,True,746.0,180.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000909-natural,train,md3005,A,md3005-1,905,909,natural,,True,1,0,True,745.0,179.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000910-natural,train,md3005,A,md3005-1,905,910,natural,,True,1,0,True,744.0,178.0,13.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000911-natural,train,md3005,A,md3005-1,905,911,natural,,True,1,0,True,744.0,178.0,13.0,24.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000912-natural,train,md3005,A,md3005-1,905,912,natural,,True,1,0,True,746.0,178.0,13.0,24.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000913-natural,train,md3005,A,md3005-1,905,913,natural,,True,1,0,True,748.0,179.0,13.0,24.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000914-natural,train,md3005,A,md3005-1,905,914,natural,,True,1,0,True,750.0,179.0,13.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000915-natural,train,md3005,A,md3005-1,905,915,natural,,True,1,0,True,752.0,180.0,13.0,24.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000916-natural,train,md3005,A,md3005-1,905,916,natural,,True,1,0,True,754.0,180.0,13.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000917-natural,train,md3005,A,md3005-1,905,917,natural,,True,1,0,True,756.0,181.0,13.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000918-natural,train,md3005,A,md3005-1,905,918,natural,,True,1,0,True,758.0,181.0,13.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000919-natural,train,md3005,A,md3005-1,905,919,natural,,True,1,0,True,760.0,182.0,13.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000920-natural,train,md3005,A,md3005-1,905,920,natural,,True,1,0,True,763.0,183.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000921-natural,train,md3005,A,md3005-1,905,921,natural,,True,1,0,True,766.0,183.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000922-natural,train,md3005,A,md3005-1,905,922,natural,,True,1,0,True,770.0,183.0,12.0,25.0,200,latest_prior_same_view_visible
d2p1-train-md3005-1-000923-natural,train,md3005,A,md3005-1,905,923,natural,,True,1,0,True,773.0,183.0,12.0,25.0,200,latest_prior_same_view_visible
