split,target_id,group,raw_sample_count,balanced_sample_count,balanced_max_score_mean,balanced_apce_mean,balanced_score_entropy_mean,balanced_prompt_topk_score_mean_mean,balanced_prompt_top1_top8_gap_mean,balanced_prompt_norm_mean_mean,balanced_prompt_pairwise_cos_mean_mean
train,md3031,synthetic,232,232,0.33272645062092565,109.7897402870244,0.7728576151461437,0.13635709829596354,0.2719449458386877,12.302253135319415,0.8107327988435482
train,md3031,natural,232,232,0.7737273793539097,207.65183287653429,0.46821861643472623,0.16323946332880135,0.7471793994692892,12.583389475427825,0.6057041309260088
train,md3032,clean,117,117,0.909531031918322,249.0589783497346,0.3485509936626141,0.14358637411879677,0.8994410455736339,12.620890332083416,0.6231398755668575
train,md3032,synthetic,117,117,0.3129110259250698,85.38776288073286,0.7909048856833042,0.13687387363523498,0.24605385191802287,12.376024254366882,0.7377631376441728
train,md3032,natural,117,117,0.7668580713435116,215.26692522489108,0.5038843024999667,0.16776236458721325,0.7380881872442033,12.553555064731174,0.6404382046471294
train,md3036,clean,6,6,0.946904331445694,254.9146525065104,0.28678350895643234,0.13359405100345612,0.9415900508562723,12.60474936167399,0.5869096219539642
train,md3036,synthetic,6,6,0.45385828117529553,179.24079259236655,0.6890649398167928,0.1288530578215917,0.4190819462140401,12.555403709411621,0.6035071810086569
train,md3036,natural,212,6,0.8502606848875681,242.2101847330729,0.43240444858868915,0.15370713671048483,0.8361870249112447,12.581073919932047,0.6261392732461294
train,md3038,clean,351,351,0.921845910046515,248.6225831121461,0.31127142033770555,0.14164812608152375,0.9133433954328554,12.602761915266683,0.621410319777975
train,md3038,synthetic,351,351,0.35236829031057165,91.5900668391475,0.7742097070414117,0.16579326730423163,0.26728283331604763,12.373249100144433,0.7535064374959027
train,md3038,natural,487,351,0.7027525444570769,185.85126620344286,0.5477897735402795,0.1776642429607886,0.6586657394880583,12.49071107359014,0.6735382674426434
train,md3040,clean,141,141,0.769242950365053,207.99865430466673,0.5366748725691586,0.18989129956309678,0.739285022231704,12.549580797236016,0.6682145401095667
train,md3040,synthetic,141,141,0.3632503203149383,60.13206390624351,0.8126960067038841,0.21114503956855613,0.23743232614393775,12.41070093330762,0.7723004154279722
train,md3040,natural,141,141,0.43081099682665885,85.4795201890012,0.7721574872943526,0.1976997012681995,0.3463503968314076,12.408371431607726,0.7582392810929751
train,md3050,clean,387,387,0.9219871861066005,246.44300160173913,0.28233669546146417,0.14311930246516408,0.9116332423163322,12.541442126882785,0.6830106614788065
train,md3050,synthetic,387,387,0.3267297825634056,85.48811367931908,0.7666048858824934,0.16351435748855428,0.23429358893769578,12.388958457828492,0.7533021916560733
train,md3050,natural,1063,387,0.8100555203373734,224.53852051727532,0.42681179266875413,0.1573468840823001,0.7874821932355871,12.555520826531936,0.6634048372892138
train,md3051,clean,132,132,0.7246308685703711,186.5135311646895,0.6024523201313886,0.2041425255663467,0.6734109157414148,12.560871586655125,0.7086915789228497
train,md3051,synthetic,132,132,0.364481554959308,57.75681299874277,0.8376129052855752,0.21002329090102154,0.2360539108401898,12.429454138784697,0.7980708926916122
train,md3051,natural,132,132,0.5395274604811813,119.41205916621469,0.7350247581348275,0.2066347859235424,0.45391435368043004,12.50099152507204,0.7298643859949979
train,md3054,clean,12,12,0.6254830459753672,138.5502758026123,0.6361564323306084,0.24037626634041467,0.5348545288046201,12.540111780166626,0.6735045661528906
train,md3054,synthetic,12,12,0.34666752566893894,34.21874229113261,0.8793933590253195,0.23505090301235518,0.18305929377675056,12.363441069920858,0.8676047424475352
train,md3054,natural,12,12,0.5197437641521295,94.82422987620036,0.7351085295279821,0.25534507632255554,0.40630844235420227,12.52021829287211,0.7412300705909729
train,md3060,clean,130,130,0.7893730782545529,210.24518814086915,0.4853145713989551,0.18255630754507504,0.7613175325668775,12.537249323037955,0.7130411900006808
train,md3060,synthetic,130,130,0.3955766084102484,68.46081485748292,0.7957596666537798,0.218982422294525,0.27035102786926124,12.397867694267859,0.7860335634304927
train,md3060,natural,130,130,0.508148769231943,110.11155351492074,0.740334795988523,0.2144758690435153,0.42041442915797234,12.45174182011531,0.7499863876746251
train,md3062,clean,7,7,0.6555394743170057,148.54217311314173,0.7594076650483268,0.23555964018617356,0.5773189749036517,12.490240914481026,0.7482713886669704
train,md3062,synthetic,7,7,0.3743451365402767,59.50165639604841,0.8450255649430412,0.20587788947990962,0.25372393642153057,12.472654615129743,0.7492259059633527
train,md3062,natural,7,7,0.329623743891716,36.684852600097656,0.8691805856568473,0.21937263224806106,0.1813482471874782,12.378945486886161,0.8859488368034363
val,md3016,clean,167,167,0.7666765294389096,211.2361699635397,0.5756681675682525,0.18442182858547052,0.7360098586824839,12.567108850993082,0.6400965141678998
val,md3016,synthetic,167,167,0.28659115941403157,37.227688403900515,0.8715600100106108,0.18159043556915785,0.16341224763386264,12.388956029971917,0.7987334938820251
val,md3016,natural,167,167,0.4204673411514231,60.96863490236019,0.8312940304864667,0.2374333574207957,0.28261023108473793,12.362886297488641,0.7550491026775565
val,md3027,clean,20,20,0.9068871647119522,251.78749771118163,0.38789096623659136,0.14077958315610886,0.8952182829380035,12.65485725402832,0.6671849429607392
val,md3027,synthetic,20,20,0.3712219286710024,101.89334449768066,0.8067178666591645,0.14543756153434514,0.303090238571167,12.304840898513794,0.8410126566886902
val,md3027,natural,20,20,0.8334268480539322,239.88038177490233,0.4681494519114494,0.15408069118857384,0.8165118813514709,12.645000410079955,0.6414459556341171
val,md3034,clean,322,322,0.7707306086461737,208.67397768008783,0.5825526344109766,0.1881725569226727,0.7394998051364969,12.601692214515639,0.6820754543964908
val,md3034,synthetic,322,322,0.36737052314214824,65.12769737006715,0.8172935512125122,0.20496141794860734,0.24412887018197071,12.41831492489169,0.774451482370033
val,md3034,natural,322,322,0.5585651958118314,118.7736937599893,0.7244027812288415,0.2330457940234901,0.4597849370159718,12.537419647903917,0.7131280438129947
val,md3048,clean,67,67,0.9463109925611696,254.6112866757521,0.26443484336582584,0.1306655046655171,0.9404494513326617,12.624618615677107,0.5708152891984627
val,md3048,synthetic,67,67,0.34419540438189433,100.86890798540257,0.7804508992095491,0.1517266724536668,0.26940021875189313,12.348538398742676,0.7692809958956135
val,md3048,natural,67,67,0.7959953119505697,228.42140493819963,0.4771708841644116,0.15906491186191787,0.7757957444262149,12.613095098467015,0.6108287701855845
val,md3055,clean,23,23,0.9353972595670949,253.96474091903022,0.30167773884275684,0.1372475196485934,0.9286814824394558,12.608174987461256,0.6128997699074124
val,md3055,synthetic,23,23,0.5037770873826483,139.51266189243483,0.7370548675889554,0.1779691667660423,0.43802217491295026,12.457323032876719,0.6737818562466166
val,md3055,natural,23,23,0.7780995394872583,217.06511323348334,0.44789520165194635,0.1678201005510662,0.759615623432657,12.596822738647461,0.6300765172294949
